location,date,total_vaccinations,longitude,latitude
Argentina,01/01/2021,43521,-58.4004,-34.6051
Argentina,01/01/2022,78094983,-58.4004,-34.6051
Argentina,01/02/2021,409245,-58.4004,-34.6051
Argentina,01/02/2022,88956976,-58.4004,-34.6051
Argentina,01/03/2021,1348557,-58.4004,-34.6051
Argentina,01/03/2022,94047669,-58.4004,-34.6051
Argentina,01/04/2021,4393062,-58.4004,-34.6051
Argentina,01/05/2021,8356463,-58.4004,-34.6051
Argentina,01/06/2021,13327124,-58.4004,-34.6051
Argentina,01/07/2021,22275967,-58.4004,-34.6051
Argentina,01/08/2021,33283854,-58.4004,-34.6051
Argentina,01/09/2021,44498347,-58.4004,-34.6051
Argentina,01/10/2021,53338440,-58.4004,-34.6051
Argentina,01/11/2021,61812499,-58.4004,-34.6051
Argentina,01/12/2021,70270004,-58.4004,-34.6051
Argentina,02/01/2021,46833,-58.4004,-34.6051
Argentina,02/01/2022,78198046,-58.4004,-34.6051
Argentina,02/02/2021,433116,-58.4004,-34.6051
Argentina,02/02/2022,89270093,-58.4004,-34.6051
Argentina,02/03/2021,1424138,-58.4004,-34.6051
Argentina,02/03/2022,94180462,-58.4004,-34.6051
Argentina,02/04/2021,4461200,-58.4004,-34.6051
Argentina,02/05/2021,8396622,-58.4004,-34.6051
Argentina,02/06/2021,13636278,-58.4004,-34.6051
Argentina,02/07/2021,22691393,-58.4004,-34.6051
Argentina,02/08/2021,33700710,-58.4004,-34.6051
Argentina,02/09/2021,44945956,-58.4004,-34.6051
Argentina,02/10/2021,53517193,-58.4004,-34.6051
Argentina,02/11/2021,62132647,-58.4004,-34.6051
Argentina,02/12/2021,70663930,-58.4004,-34.6051
Argentina,03/01/2021,47275,-58.4004,-34.6051
Argentina,03/01/2022,78685015,-58.4004,-34.6051
Argentina,03/02/2021,459724,-58.4004,-34.6051
Argentina,03/02/2022,89547739,-58.4004,-34.6051
Argentina,03/03/2021,1495568,-58.4004,-34.6051
Argentina,03/03/2022,94306005,-58.4004,-34.6051
Argentina,03/04/2021,4535683,-58.4004,-34.6051
Argentina,03/05/2021,8571241,-58.4004,-34.6051
Argentina,03/06/2021,13985731,-58.4004,-34.6051
Argentina,03/07/2021,23027874,-58.4004,-34.6051
Argentina,03/08/2021,34108444,-58.4004,-34.6051
Argentina,03/09/2021,45380124,-58.4004,-34.6051
Argentina,03/10/2021,53625645,-58.4004,-34.6051
Argentina,03/11/2021,62481910,-58.4004,-34.6051
Argentina,03/12/2021,70977822,-58.4004,-34.6051
Argentina,04/01/2021,57735,-58.4004,-34.6051
Argentina,04/01/2022,79231892,-58.4004,-34.6051
Argentina,04/02/2021,487837,-58.4004,-34.6051
Argentina,04/02/2022,89867315,-58.4004,-34.6051
Argentina,04/03/2021,1607614,-58.4004,-34.6051
Argentina,04/03/2022,94429785,-58.4004,-34.6051
Argentina,04/04/2021,4584150,-58.4004,-34.6051
Argentina,04/05/2021,8803209,-58.4004,-34.6051
Argentina,04/06/2021,14393672,-58.4004,-34.6051
Argentina,04/07/2021,23224237,-58.4004,-34.6051
Argentina,04/08/2021,34525523,-58.4004,-34.6051
Argentina,04/09/2021,45675921,-58.4004,-34.6051
Argentina,04/10/2021,53855300,-58.4004,-34.6051
Argentina,04/11/2021,62840527,-58.4004,-34.6051
Argentina,04/12/2021,71140930,-58.4004,-34.6051
Argentina,05/01/2021,68458,-58.4004,-34.6051
Argentina,05/01/2022,79772964,-58.4004,-34.6051
Argentina,05/02/2021,520859,-58.4004,-34.6051
Argentina,05/02/2022,90001769,-58.4004,-34.6051
Argentina,05/03/2021,1719333,-58.4004,-34.6051
Argentina,05/03/2022,94487944,-58.4004,-34.6051
Argentina,05/04/2021,4750098,-58.4004,-34.6051
Argentina,05/05/2021,9048044,-58.4004,-34.6051
Argentina,05/06/2021,14720380,-58.4004,-34.6051
Argentina,05/07/2021,23633848,-58.4004,-34.6051
Argentina,05/08/2021,34955596,-58.4004,-34.6051
Argentina,05/09/2021,45872427,-58.4004,-34.6051
Argentina,05/10/2021,54121538,-58.4004,-34.6051
Argentina,05/11/2021,63150692,-58.4004,-34.6051
Argentina,05/12/2021,71237095,-58.4004,-34.6051
Argentina,06/01/2021,78567,-58.4004,-34.6051
Argentina,06/01/2022,80315121,-58.4004,-34.6051
Argentina,06/02/2021,531783,-58.4004,-34.6051
Argentina,06/02/2022,90092886,-58.4004,-34.6051
Argentina,06/03/2021,1774262,-58.4004,-34.6051
Argentina,06/03/2022,94542709,-58.4004,-34.6051
Argentina,06/04/2021,4944030,-58.4004,-34.6051
Argentina,06/05/2021,9250758,-58.4004,-34.6051
Argentina,06/06/2021,14937641,-58.4004,-34.6051
Argentina,06/07/2021,24050515,-58.4004,-34.6051
Argentina,06/08/2021,35369272,-58.4004,-34.6051
Argentina,06/09/2021,46313495,-58.4004,-34.6051
Argentina,06/10/2021,54368856,-58.4004,-34.6051
Argentina,06/11/2021,63317251,-58.4004,-34.6051
Argentina,06/12/2021,71547905,-58.4004,-34.6051
Argentina,07/01/2021,96788,-58.4004,-34.6051
Argentina,07/01/2022,80879724,-58.4004,-34.6051
Argentina,07/02/2021,533166,-58.4004,-34.6051
Argentina,07/02/2022,90377443,-58.4004,-34.6051
Argentina,07/03/2021,1786063,-58.4004,-34.6051
Argentina,07/03/2022,94693709,-58.4004,-34.6051
Argentina,07/04/2021,5182323,-58.4004,-34.6051
Argentina,07/05/2021,9456019,-58.4004,-34.6051
Argentina,07/06/2021,15290604,-58.4004,-34.6051
Argentina,07/07/2021,24454394,-58.4004,-34.6051
Argentina,07/08/2021,35647272,-58.4004,-34.6051
Argentina,07/09/2021,46776521,-58.4004,-34.6051
Argentina,07/10/2021,54633357,-58.4004,-34.6051
Argentina,07/11/2021,63444791,-58.4004,-34.6051
Argentina,07/12/2021,71881666,-58.4004,-34.6051
Argentina,08/01/2021,124669,-58.4004,-34.6051
Argentina,08/01/2022,81148714,-58.4004,-34.6051
Argentina,08/02/2021,556582,-58.4004,-34.6051
Argentina,08/02/2022,90647209,-58.4004,-34.6051
Argentina,08/03/2021,1888525,-58.4004,-34.6051
Argentina,08/03/2022,94796329,-58.4004,-34.6051
Argentina,08/04/2021,5418184,-58.4004,-34.6051
Argentina,08/05/2021,9530279,-58.4004,-34.6051
Argentina,08/06/2021,15660335,-58.4004,-34.6051
Argentina,08/07/2021,24864698,-58.4004,-34.6051
Argentina,08/08/2021,35808881,-58.4004,-34.6051
Argentina,08/09/2021,47149870,-58.4004,-34.6051
Argentina,08/10/2021,54754548,-58.4004,-34.6051
Argentina,08/11/2021,63694175,-58.4004,-34.6051
Argentina,08/12/2021,72015988,-58.4004,-34.6051
Argentina,09/01/2021,134878,-58.4004,-34.6051
Argentina,09/01/2022,81311755,-58.4004,-34.6051
Argentina,09/02/2021,576778,-58.4004,-34.6051
Argentina,09/02/2022,90945529,-58.4004,-34.6051
Argentina,09/03/2021,2004299,-58.4004,-34.6051
Argentina,09/03/2022,94913913,-58.4004,-34.6051
Argentina,09/04/2021,5658525,-58.4004,-34.6051
Argentina,09/05/2021,9548965,-58.4004,-34.6051
Argentina,09/06/2021,16032540,-58.4004,-34.6051
Argentina,09/07/2021,25222064,-58.4004,-34.6051
Argentina,09/08/2021,36199504,-58.4004,-34.6051
Argentina,09/09/2021,47547136,-58.4004,-34.6051
Argentina,09/10/2021,54870209,-58.4004,-34.6051
Argentina,09/11/2021,64045422,-58.4004,-34.6051
Argentina,09/12/2021,72315493,-58.4004,-34.6051
Argentina,10/01/2021,136053,-58.4004,-34.6051
Argentina,10/01/2022,81822791,-58.4004,-34.6051
Argentina,10/02/2021,592397,-58.4004,-34.6051
Argentina,10/02/2022,91211305,-58.4004,-34.6051
Argentina,10/03/2021,2168232,-58.4004,-34.6051
Argentina,10/03/2022,95028562,-58.4004,-34.6051
