location,vaccine,total_vaccinations
Argentina,Sinopharm/Beijing,5713239160
Austria,Pfizer/BioNTech,455767345
Belgium,Pfizer/BioNTech,598973594
Bulgaria,Pfizer/BioNTech,83132765
Chile,Sinovac,7421275115
Croatia,Pfizer/BioNTech,130860566
Cyprus,Pfizer/BioNTech,37964572
Czechia,Pfizer/BioNTech,3441540352
Denmark,Pfizer/BioNTech,347598773
Ecuador,Sinovac,2561851981
Estonia,Pfizer/BioNTech,49429538
European Union,Pfizer/BioNTech,141033652111
Finland,Pfizer/BioNTech,299124833
France,Pfizer/BioNTech,25225323599
Germany,Pfizer/BioNTech,29153644591
Hong Kong,Pfizer/BioNTech,1643527440
Hungary,Pfizer/BioNTech,313978457
Iceland,Pfizer/BioNTech,4200838
Ireland,Pfizer/BioNTech,261046056
Italy,Pfizer/BioNTech,20532273075
Japan,Pfizer/BioNTech,3768902151
Latvia,Pfizer/BioNTech,352811481
Liechtenstein,Moderna,1543114
Lithuania,Pfizer/BioNTech,109774321
Luxembourg,Pfizer/BioNTech,25160627
Malta,Pfizer/BioNTech,26244064
Nepal,Sinopharm/Beijing,677156432
Netherlands,Pfizer/BioNTech,818084203
Norway,Pfizer/BioNTech,286057667
Peru,Pfizer/BioNTech,6157882794
Poland,Pfizer/BioNTech,1342428965
Portugal,Pfizer/BioNTech,475609939
Romania,Pfizer/BioNTech,3290244599
Slovakia,Pfizer/BioNTech,171778830
Slovenia,Pfizer/BioNTech,72565218
South Africa,Pfizer/BioNTech,620315364
South Korea,Pfizer/BioNTech,12513036835
Spain,Pfizer/BioNTech,2244536959
Sweden,Pfizer/BioNTech,482093272
Switzerland,Moderna,2327225656
Ukraine,Pfizer/BioNTech,1810085190
United States,Pfizer/BioNTech,79776473000
Uruguay,Sinovac,1047602618
